city,latitude,longitude,aod,reflectance_SWIR,temperature_2m,humidity_2m,pbl_height,wind_speed_10m,hour,PM2.5,PM10
Mumbai,19.023859156193815,72.92612347038921,0.5980351006005525,0.4015981667784783,33.40759243635753,57.50975255812882,771.982954314178,2.4121789243415903,5,28.98405470906056,51.84875349350432
Kolkata,22.607888114591287,88.33457050924846,1.619218702076892,0.3177244976687025,30.581370692185395,86.72602120461663,279.616173066128,10.298223609234403,9,75.92047629701915,79.53767968885128
Hyderabad,17.361493322745893,78.43090941803024,1.1214024643392417,0.061308007850896025,27.478664450500297,51.758078041623705,726.5898700757385,1.225996799849327,16,58.711300190976985,99.41060789952616
Kolkata,22.532897890792718,88.35338080365183,0.13868153077063425,0.4448957141823324,16.341251237323213,86.1671639019439,1942.4160420770838,6.5973257840159025,6,5.0,55.425530031293725
Kolkata,22.566846123708707,88.3458970429687,0.16759598564023861,0.4595506150469759,40.97063757309543,77.32056673713411,137.9071066910525,8.104147280770624,19,8.433985393082454,26.684591383940425
Bangalore,12.979830607569603,77.59390890052069,1.2307223643314134,0.16922884564623583,40.96621747799237,86.26059094324185,1678.0313337148934,3.4969661466729947,12,69.16000592035435,92.61280819189268
Hyderabad,17.33309706034225,78.50967728605698,0.5397420805728504,0.3118487180218675,32.82141959906767,84.9936370573333,1987.8811597273059,1.9379977950064753,10,33.59796242023551,89.21850228961297
Hyderabad,17.35748956582571,78.51424308021505,1.5041009155473817,0.2512403035905088,23.03652915474462,58.90915347866581,929.1700208235459,7.3605980883471105,19,35.5424106895366,124.33393262933495
Hyderabad,17.333279987427687,78.47012299996118,1.079660276252851,0.47159164662861286,15.843931321166773,49.447312649504134,1891.8052006117928,5.104916542728995,4,42.53191170675059,94.4265113399915
Kolkata,22.56203353891955,88.35298457437064,1.6706076052953345,0.2592867811448805,15.042864125009226,81.2115872704066,596.1752501069893,2.103624292531154,23,56.19397841577755,129.74404879454613
Mumbai,19.109510002906624,72.84481777303294,2.385748417753484,0.48038324871891147,17.187221691676164,48.921926142635144,1966.3648723735103,3.1556040258612787,9,96.99068777883024,193.14549762483563
Hyderabad,17.428265241149354,78.43475476088813,1.3689667235086087,0.10767784975980099,25.796589790534952,27.151725630884663,1736.9474907920487,7.06409522028071,1,65.86627466325027,112.44265656652803
Kolkata,22.583704755350364,88.3741214990235,1.989708648616239,0.17931301127088317,20.651878379912333,88.7075717925504,1780.925383081444,1.9957559675446084,22,91.7025188221564,166.57116801601774
